total_accuracy,f1_gasp,recall_gasp,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info
0.5291666666666667,0.26516132177001744,0.37656249999999997,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.5275684232026144,0.48803054916098393,0.7125,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.5294730392156863,0.38772772879294615,0.5625,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.5413296568627451,0.4353292902749425,0.625,gasp,104,52,52,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-18
0.77578125,0.7706330567437378,0.7765625,gasp,100,50,50,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.8023845996732025,0.8039980257530567,0.8171875,gasp,104,52,52,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.7787785947712417,0.7807180115635999,0.7942708333333334,gasp,104,52,52,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.7449244281045752,0.7475174198240475,0.7647569444444444,gasp,104,52,52,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.8116779003267973,0.8037952500500876,0.7946180555555556,gasp,104,52,52,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-18
0.6953125,0.6905131737242804,0.7000000000000001,gasp,100,50,50,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.6614736519607843,0.6567378145805003,0.664236111111111,gasp,104,52,52,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.6551572712418301,0.6318807143149249,0.625,gasp,104,52,52,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.6777216094771241,0.6703061490098272,0.664236111111111,gasp,104,52,52,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.6800653594771241,0.6783181781024273,0.6956597222222222,gasp,104,52,52,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-18
0.6703125,0.6290032478915992,0.5843750000000001,gasp,100,50,50,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-18
0.6818116830065359,0.6431711989635751,0.5987847222222222,gasp,104,52,52,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-18
0.6901909722222223,0.6455402182956362,0.5909722222222222,gasp,104,52,52,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-18
0.6909211601307189,0.643458438169158,0.5913194444444445,gasp,104,52,52,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-18
0.6867902369281046,0.6512514283102518,0.6079861111111111,gasp,104,52,52,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-18
0.7210937500000001,0.7458191369193018,0.8156249999999999,gasp,100,50,50,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-18
0.6802287581699347,0.7037131613619028,0.7748263888888888,gasp,104,52,52,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-18
0.7010008169934641,0.7291044504619684,0.8076388888888889,gasp,104,52,52,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-18
0.7385161356209151,0.7440145885535995,0.7699652777777778,gasp,104,52,52,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-18
0.7128370098039216,0.7334660111784388,0.8031249999999999,gasp,104,52,52,26,0.2,5,5,5,20,GaussianNB,None,experiment_1_date_2019-09-18
0.7031249999999999,0.6963082007431853,0.7046875,gasp,100,50,50,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-18
0.7208384395424836,0.7207653135478214,0.7289930555555555,gasp,104,52,52,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-18
0.7080014297385621,0.7134258696510934,0.7399305555555555,gasp,104,52,52,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-18
0.6869893790849674,0.6730061715675106,0.6723958333333333,gasp,104,52,52,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-18
0.7076491013071895,0.7054180665181051,0.7074652777777777,gasp,104,52,52,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_1_date_2019-09-18
0.79375,0.7893495085281075,0.7859375,gasp,100,50,50,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-18
0.7955116421568628,0.7884566513852505,0.7831597222222222,gasp,104,52,52,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-18
0.7724315767973857,0.7689538881740894,0.7809027777777778,gasp,104,52,52,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-18
0.8093341503267972,0.8107962626683602,0.8282986111111111,gasp,104,52,52,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-18
0.7665134803921569,0.7723132864232355,0.7951388888888888,gasp,104,52,52,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-18
0.5238095238095238,0.6875000000000001,1.0,gasp,104,52,52,26,0.2,5,5,5,20,Sequential,model_layers=5
0.8656250000000001,0.8737762616855109,0.921875,gasp,100,50,50,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-19
0.8731055964052288,0.8798063633348077,0.9248263888888889,gasp,104,52,52,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-19
0.8652113970588234,0.8719706181761135,0.9215277777777778,gasp,104,52,52,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-19
0.8725745506535947,0.8831024251805986,0.9501736111111111,gasp,104,52,52,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-19
0.8657475490196078,0.874202003169689,0.9319444444444446,gasp,104,52,52,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_1_date_2019-09-19
0.6226562499999999,0.6192680135481993,0.6312500000000001,gasp,100,50,50,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-19
0.6668096405228758,0.6514055899399653,0.6491319444444443,gasp,104,52,52,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-19
0.6302083333333334,0.6210913995705017,0.6263888888888889,gasp,104,52,52,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-19
0.640170547385621,0.6287532224061367,0.6347222222222222,gasp,104,52,52,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-19
0.6365604575163398,0.6235592608248752,0.6274305555555555,gasp,104,52,52,26,0.2,5,5,5,20,Id3Estimator,None,experiment_1_date_2019-09-19
0.70234375,0.6667160596756185,0.621875,gasp,100,50,50,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-19
0.7153084150326796,0.6868013741504453,0.6435763888888888,gasp,104,52,52,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-19
0.7112234477124183,0.6829172490521175,0.6447916666666667,gasp,104,52,52,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-19
0.709329044117647,0.6700083924503429,0.6213541666666667,gasp,104,52,52,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-19
0.7183619281045752,0.6899618692710798,0.6581597222222222,gasp,104,52,52,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_1_date_2019-09-19
0.67421875,0.6894705751120225,0.73125,gasp,100,50,50,26,0.2,5,5,5,20,SVC,None,experiment_1_date_2019-09-19
