total_accuracy,f1_sniff,recall_sniff,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info
0.7750000000000001,0.7959226190476192,0.8708333333333332,sniff,38,19,19,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-19
0.7104166666666667,0.7440178571428571,0.8416666666666667,sniff,38,19,19,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-19
0.7229166666666667,0.7454761904761905,0.8458333333333332,sniff,38,19,19,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-19
0.7541666666666667,0.7769345238095238,0.8625,sniff,38,19,19,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_1_date_2019-09-19
0.7645833333333334,0.7664285714285715,0.7875,sniff,38,19,19,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-19
0.6125,0.5935119047619047,0.625,sniff,38,19,19,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-19
0.7104166666666666,0.6879761904761905,0.7,sniff,38,19,19,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-19
0.6354166666666666,0.6133630952380953,0.6541666666666666,sniff,38,19,19,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-19
0.6499999999999999,0.6248809523809524,0.6458333333333333,sniff,38,19,19,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_1_date_2019-09-19
0.7270833333333333,0.6892261904761905,0.6791666666666667,sniff,38,19,19,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-19
0.73125,0.7038392857142857,0.6916666666666667,sniff,38,19,19,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-19
0.6979166666666667,0.6699404761904761,0.6708333333333333,sniff,38,19,19,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-19
0.7041666666666666,0.6554464285714285,0.65,sniff,38,19,19,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-19
0.70625,0.684970238095238,0.6791666666666666,sniff,38,19,19,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_1_date_2019-09-19
