total_accuracy,f1_whisper,recall_whisper,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info
0.7621875,0.774064615939616,0.8175000000000001,whisper,54,27,27,26,0.2,5,5,5,20,MLPClassifier,None,experiment_1_date_2019-09-19
0.45454545454545453,0.625,1.0,whisper,54,27,27,26,0.2,5,5,5,20,Sequential,model_layers=5
0.7330208333333333,0.7493106893106892,0.791875,whisper,54,27,27,7,0.2,5,5,5,1,Sequential,model_layers=5,experiment_2_date_2019-09-19
0.5986805555555555,0.5869864163614164,0.5900000000000001,whisper,54,27,27,7,0.2,5,5,5,1,Id3Estimator,None,experiment_2_date_2019-09-19
0.6625694444444444,0.640079365079365,0.624375,whisper,54,27,27,7,0.2,5,5,5,1,KNeighborsClassifier,None,experiment_2_date_2019-09-19
0.6140277777777777,0.684255328005328,0.84125,whisper,54,27,27,7,0.2,5,5,5,1,SVC,None,experiment_2_date_2019-09-19
0.5729166666666666,0.6174608724608726,0.73,whisper,54,27,27,7,0.2,5,5,5,1,SVC,None,experiment_2_date_2019-09-19
0.6802430555555555,0.6838492063492064,0.70375,whisper,54,27,27,7,0.2,5,5,5,1,GaussianProcessClassifier,None,experiment_2_date_2019-09-19
0.6101736111111111,0.5992334054834054,0.6287499999999999,whisper,54,27,27,7,0.2,5,5,5,1,DecisionTreeClassifier,None,experiment_2_date_2019-09-19
0.6492361111111111,0.6203237734487734,0.5993750000000001,whisper,54,27,27,7,0.2,5,5,5,1,RandomForestClassifier,None,experiment_2_date_2019-09-19
0.645,0.7062266206016206,0.849375,whisper,54,27,27,7,0.2,5,5,5,1,GaussianNB,None,experiment_2_date_2019-09-19
0.6500694444444444,0.6546808053058053,0.67625,whisper,54,27,27,7,0.2,5,5,5,1,AdaBoostClassifier,None,experiment_2_date_2019-09-19
0.6223958333333333,0.6518213730713731,0.726875,whisper,54,27,27,7,0.2,5,5,5,1,MLPClassifier,None,experiment_2_date_2019-09-19
0.8338888888888889,0.8391752691752692,0.8568749999999999,whisper,54,27,27,11,0.2,5,5,5,5,Sequential,model_layers=5,experiment_2_date_2019-09-19
0.6469097222222222,0.6443724331224331,0.6625,whisper,54,27,27,11,0.2,5,5,5,5,Id3Estimator,None,experiment_2_date_2019-09-19
0.7689236111111111,0.777732683982684,0.8025,whisper,54,27,27,11,0.2,5,5,5,5,KNeighborsClassifier,None,experiment_2_date_2019-09-19
0.63125,0.6873257298257297,0.804375,whisper,54,27,27,11,0.2,5,5,5,5,SVC,None,experiment_2_date_2019-09-19
0.7044791666666665,0.78141317016317,1.0,whisper,54,27,27,11,0.2,5,5,5,5,SVC,None,experiment_2_date_2019-09-19
0.7535069444444444,0.7656841075591075,0.799375,whisper,54,27,27,11,0.2,5,5,5,5,GaussianProcessClassifier,None,experiment_2_date_2019-09-19
0.6201041666666667,0.6027414946164945,0.606875,whisper,54,27,27,11,0.2,5,5,5,5,DecisionTreeClassifier,None,experiment_2_date_2019-09-19
0.6497222222222222,0.6012409812409811,0.57875,whisper,54,27,27,11,0.2,5,5,5,5,RandomForestClassifier,None,experiment_2_date_2019-09-19
0.5970138888888888,0.6548723498723499,0.766875,whisper,54,27,27,11,0.2,5,5,5,5,GaussianNB,None,experiment_2_date_2019-09-19
0.7435416666666668,0.7452335858585859,0.76625,whisper,54,27,27,11,0.2,5,5,5,5,AdaBoostClassifier,None,experiment_2_date_2019-09-19
0.7373263888888888,0.7398088023088023,0.7737499999999999,whisper,54,27,27,11,0.2,5,5,5,5,MLPClassifier,None,experiment_2_date_2019-09-19
0.8705555555555555,0.8844580419580419,0.9475,whisper,54,27,27,16,0.2,5,5,5,10,Sequential,model_layers=5,experiment_2_date_2019-09-19
0.6843402777777778,0.6749013486513487,0.694375,whisper,54,27,27,16,0.2,5,5,5,10,Id3Estimator,None,experiment_2_date_2019-09-19
0.7823263888888888,0.8147651653901654,0.918125,whisper,54,27,27,16,0.2,5,5,5,10,KNeighborsClassifier,None,experiment_2_date_2019-09-19
0.6984374999999999,0.7405568736818736,0.866875,whisper,54,27,27,16,0.2,5,5,5,10,SVC,None,experiment_2_date_2019-09-19
0.6778819444444444,0.7661335886335886,1.0,whisper,54,27,27,16,0.2,5,5,5,10,SVC,None,experiment_2_date_2019-09-19
0.7528472222222222,0.7779392829392829,0.84875,whisper,54,27,27,16,0.2,5,5,5,10,GaussianProcessClassifier,None,experiment_2_date_2019-09-19
0.7429861111111111,0.7370306776556776,0.7362500000000001,whisper,54,27,27,16,0.2,5,5,5,10,DecisionTreeClassifier,None,experiment_2_date_2019-09-19
0.7476736111111111,0.7203291847041847,0.6925,whisper,54,27,27,16,0.2,5,5,5,10,RandomForestClassifier,None,experiment_2_date_2019-09-19
