total_accuracy,f1_cry,recall_cry,clf_label,total_samples,positives,negatives,total_features,test_size_ratio,folds,kfold_repeats,sampling_repeats,n_mfcc_amount,model_name,model_info,userInput
0.7633522727272728,0.8102122972080129,0.9977272727272728,cry,276,138,138,16,0.2,5,5,5,10,SVC,None,experiment_2_date_2019-08-25
0.8576704545454545,0.8573461156913027,0.8568181818181819,cry,276,138,138,16,0.2,5,5,5,10,GaussianProcessClassifier,None,experiment_2_date_2019-08-25
0.7744318181818182,0.774089409645143,0.7795454545454545,cry,276,138,138,16,0.2,5,5,5,10,DecisionTreeClassifier,None,experiment_2_date_2019-08-25
0.7857954545454546,0.7763221503687446,0.7477272727272728,cry,276,138,138,16,0.2,5,5,5,10,RandomForestClassifier,None,experiment_2_date_2019-08-25
0.6676136363636365,0.6444776045167662,0.615340909090909,cry,276,138,138,16,0.2,5,5,5,10,GaussianNB,None,experiment_2_date_2019-08-25
0.7838068181818181,0.784891347738804,0.7892045454545453,cry,276,138,138,16,0.2,5,5,5,10,AdaBoostClassifier,None,experiment_2_date_2019-08-25
0.8181818181818182,0.8169816860816015,0.8170454545454546,cry,276,138,138,16,0.2,5,5,5,10,MLPClassifier,None,experiment_2_date_2019-08-25
0.8982954545454546,0.8973327205277457,0.8920454545454545,cry,276,138,138,18,0.2,5,5,5,12,Sequential,model_layers=5,experiment_2_date_2019-08-25
0.805965909090909,0.8067920549312777,0.8164772727272728,cry,276,138,138,18,0.2,5,5,5,12,Id3Estimator,None,experiment_2_date_2019-08-25
0.8380681818181819,0.8352443461208058,0.822159090909091,cry,276,138,138,18,0.2,5,5,5,12,KNeighborsClassifier,None,experiment_2_date_2019-08-25
0.7457386363636364,0.7279223330457043,0.6869318181818181,cry,276,138,138,18,0.2,5,5,5,12,SVC,None,experiment_2_date_2019-08-25
0.7568181818181818,0.8056629532419194,1.0,cry,276,138,138,18,0.2,5,5,5,12,SVC,None,experiment_2_date_2019-08-25
0.8440340909090909,0.8441868500058661,0.8511363636363636,cry,276,138,138,18,0.2,5,5,5,12,GaussianProcessClassifier,None,experiment_2_date_2019-08-25
0.8036931818181818,0.802859866661713,0.8045454545454546,cry,276,138,138,18,0.2,5,5,5,12,DecisionTreeClassifier,None,experiment_2_date_2019-08-25
0.8011363636363635,0.7944994535167392,0.7761363636363636,cry,276,138,138,18,0.2,5,5,5,12,RandomForestClassifier,None,experiment_2_date_2019-08-25
0.6778409090909091,0.6700580335097512,0.6568181818181817,cry,276,138,138,18,0.2,5,5,5,12,GaussianNB,None,experiment_2_date_2019-08-25
0.8099431818181817,0.8119081442355147,0.8244318181818182,cry,276,138,138,18,0.2,5,5,5,12,AdaBoostClassifier,None,experiment_2_date_2019-08-25
0.8068181818181819,0.8043567403611354,0.8005681818181818,cry,276,138,138,18,0.2,5,5,5,12,MLPClassifier,None,experiment_2_date_2019-08-25
0.9034090909090908,0.9086597574492955,0.9477272727272728,cry,276,138,138,21,0.2,5,5,5,15,Sequential,model_layers=5,experiment_2_date_2019-08-25
0.7917613636363636,0.7912995576102149,0.7960227272727272,cry,276,138,138,21,0.2,5,5,5,15,Id3Estimator,None,experiment_2_date_2019-08-25
0.8403409090909092,0.8356185746214583,0.8193181818181818,cry,276,138,138,21,0.2,5,5,5,15,KNeighborsClassifier,None,experiment_2_date_2019-08-25
0.803409090909091,0.7923028255973611,0.7573863636363636,cry,276,138,138,21,0.2,5,5,5,15,SVC,None,experiment_2_date_2019-08-25
0.7494318181818183,0.8015180348192964,1.0,cry,276,138,138,21,0.2,5,5,5,15,SVC,None,experiment_2_date_2019-08-25
0.8514204545454545,0.8493519618585819,0.8426136363636363,cry,276,138,138,21,0.2,5,5,5,15,GaussianProcessClassifier,None,experiment_2_date_2019-08-25
0.7917613636363636,0.7910989034158122,0.7931818181818182,cry,276,138,138,21,0.2,5,5,5,15,DecisionTreeClassifier,None,experiment_2_date_2019-08-25
0.7948863636363637,0.7843525344384243,0.7539772727272728,cry,276,138,138,21,0.2,5,5,5,15,RandomForestClassifier,None,experiment_2_date_2019-08-25
0.7511363636363637,0.7442736666751202,0.7318181818181818,cry,276,138,138,21,0.2,5,5,5,15,GaussianNB,None,experiment_2_date_2019-08-25
0.8011363636363635,0.799774180910483,0.7982954545454546,cry,276,138,138,21,0.2,5,5,5,15,AdaBoostClassifier,None,experiment_2_date_2019-08-25
0.8389204545454545,0.8352765724222215,0.8261363636363637,cry,276,138,138,21,0.2,5,5,5,15,MLPClassifier,None,experiment_2_date_2019-08-25
0.9201704545454545,0.9228492424432178,0.9443181818181818,cry,276,138,138,26,0.2,5,5,5,20,Sequential,model_layers=5,experiment_2_date_2019-08-25
0.7852272727272727,0.7848338426262245,0.7880681818181818,cry,276,138,138,26,0.2,5,5,5,20,Id3Estimator,None,experiment_2_date_2019-08-25
0.8414772727272727,0.8356578532383322,0.8136363636363636,cry,276,138,138,26,0.2,5,5,5,20,KNeighborsClassifier,None,experiment_2_date_2019-08-25
0.7732954545454545,0.7648488976705544,0.7465909090909091,cry,276,138,138,26,0.2,5,5,5,20,SVC,None,experiment_2_date_2019-08-25
0.7323863636363637,0.7899977735343954,1.0,cry,276,138,138,26,0.2,5,5,5,20,SVC,None,experiment_2_date_2019-08-25
0.8599431818181817,0.8597154396801309,0.85625,cry,276,138,138,26,0.2,5,5,5,20,GaussianProcessClassifier,None,experiment_2_date_2019-08-25
0.7957386363636364,0.7947063547006066,0.7982954545454546,cry,276,138,138,26,0.2,5,5,5,20,DecisionTreeClassifier,None,experiment_2_date_2019-08-25
0.8105113636363637,0.8052786032715091,0.7852272727272727,cry,276,138,138,26,0.2,5,5,5,20,RandomForestClassifier,None,experiment_2_date_2019-08-25
0.7553977272727272,0.7494781073439661,0.7352272727272727,cry,276,138,138,26,0.2,5,5,5,20,GaussianNB,None,experiment_2_date_2019-08-25
0.8215909090909091,0.8228330660460537,0.8306818181818181,cry,276,138,138,26,0.2,5,5,5,20,AdaBoostClassifier,None,experiment_2_date_2019-08-25
0.8423295454545455,0.8419378631907398,0.8443181818181819,cry,276,138,138,26,0.2,5,5,5,20,MLPClassifier,None,experiment_2_date_2019-08-25
0.9011363636363636,0.9061443116458214,0.9448863636363637,cry,276,138,138,31,0.2,5,5,5,25,Sequential,model_layers=5,experiment_2_date_2019-08-25
0.7701704545454546,0.7691987912309807,0.7704545454545454,cry,276,138,138,31,0.2,5,5,5,25,Id3Estimator,None,experiment_2_date_2019-08-25
0.8451704545454545,0.8397185897517442,0.8170454545454545,cry,276,138,138,31,0.2,5,5,5,25,KNeighborsClassifier,None,experiment_2_date_2019-08-25
0.7860795454545454,0.7799540665162688,0.7630681818181819,cry,276,138,138,31,0.2,5,5,5,25,SVC,None,experiment_2_date_2019-08-25
0.7062499999999999,0.774325504701523,1.0,cry,276,138,138,31,0.2,5,5,5,25,SVC,None,experiment_2_date_2019-08-25
0.8451704545454545,0.8460475345014492,0.8517045454545454,cry,276,138,138,31,0.2,5,5,5,25,GaussianProcessClassifier,None,experiment_2_date_2019-08-25
0.7659090909090909,0.7643204101184329,0.7647727272727274,cry,276,138,138,31,0.2,5,5,5,25,DecisionTreeClassifier,None,experiment_2_date_2019-08-25
0.8048295454545454,0.7967697684391364,0.7727272727272728,cry,276,138,138,31,0.2,5,5,5,25,RandomForestClassifier,None,experiment_2_date_2019-08-25
0.7681818181818183,0.7644683213692806,0.7562500000000001,cry,276,138,138,31,0.2,5,5,5,25,GaussianNB,None,experiment_2_date_2019-08-25
0.796590909090909,0.7966470006713342,0.8005681818181818,cry,276,138,138,31,0.2,5,5,5,25,AdaBoostClassifier,None,experiment_2_date_2019-08-25
0.8471590909090909,0.8482816414516317,0.8534090909090909,cry,276,138,138,31,0.2,5,5,5,25,MLPClassifier,None,experiment_2_date_2019-08-25
0.9204545454545455,0.9220929275687675,0.9363636363636363,cry,276,138,138,36,0.2,5,5,5,30,Sequential,model_layers=5,experiment_2_date_2019-08-25
0.8073863636363635,0.804752140971007,0.803409090909091,cry,276,138,138,36,0.2,5,5,5,30,Id3Estimator,None,experiment_2_date_2019-08-25
0.8485795454545455,0.8403168105062587,0.8045454545454545,cry,276,138,138,36,0.2,5,5,5,30,KNeighborsClassifier,None,experiment_2_date_2019-08-25
0.8264204545454545,0.8252652041923045,0.8232954545454547,cry,276,138,138,36,0.2,5,5,5,30,SVC,None,experiment_2_date_2019-08-25
0.678409090909091,0.7574242607274191,0.9977272727272728,cry,276,138,138,36,0.2,5,5,5,30,SVC,None,experiment_2_date_2019-08-25
0.8338068181818181,0.8330013189341344,0.8318181818181818,cry,276,138,138,36,0.2,5,5,5,30,GaussianProcessClassifier,None,experiment_2_date_2019-08-25
0.7909090909090909,0.7893610841159506,0.7926136363636364,cry,276,138,138,36,0.2,5,5,5,30,DecisionTreeClassifier,None,experiment_2_date_2019-08-25
