filename,spectral_centroid,zero_crossings,spectral_rolloff,chroma_stft,rms,mel_spec,mfcc_1,label
328969__kickhat__remix-at-club-ambience_09.wav,1823.202283828331,0.08107955367476852,3578.69873046875,0.4205387830734253,192.1857452392578,0.4409257769584656,-192.1857452392578,Far_miss
328969__kickhat__remix-at-club-ambience_10.wav,1703.5615031651648,0.07588478370949074,3257.2957356770835,0.4136154353618622,209.1442108154297,0.40652650594711304,-209.1442108154297,Far_miss
328969__kickhat__remix-at-club-ambience_11.wav,1822.4840439863126,0.07970287181712964,3665.130615234375,0.4080295264720917,193.5003662109375,0.4666576087474823,-193.5003662109375,Far_miss
328969__kickhat__remix-at-club-ambience_12.wav,1641.6944342560046,0.06887026186342593,3198.9766438802085,0.45025861263275146,178.5173797607422,0.6705600619316101,-178.5173797607422,Far_miss
328969__kickhat__remix-at-club-ambience_13.wav,1684.1926503167929,0.06488263165509259,3433.000691731771,0.4374283254146576,183.5660858154297,0.6640017628669739,-183.5660858154297,Far_miss
328969__kickhat__remix-at-club-ambience_14.wav,1663.9010163918688,0.06475604021990741,3325.434366861979,0.44573479890823364,189.60159301757812,0.595588743686676,-189.60159301757812,Far_miss
328969__kickhat__remix-at-club-ambience_15.wav,1958.6892940784483,0.07363326461226852,4317.8558349609375,0.45346760749816895,158.3946533203125,0.7999119758605957,-158.3946533203125,Far_miss
328969__kickhat__remix-at-club-ambience_16.wav,1878.9372910227717,0.07120768229166667,4033.7371826171875,0.4515007734298706,157.947265625,0.8584868907928467,-157.947265625,Far_miss
328969__kickhat__remix-at-club-ambience_17.wav,1966.969401891953,0.07868787977430555,4186.2640380859375,0.41964367032051086,151.64044189453125,0.8597038984298706,-151.64044189453125,Far_miss
328969__kickhat__remix-at-club-ambience_18.wav,1942.3406806301437,0.07987241391782407,4136.4186604817705,0.4294677972793579,148.83001708984375,0.9443809390068054,-148.83001708984375,Far_miss
328969__kickhat__remix-at-club-ambience_19.wav,1929.843150701279,0.07476128472222222,4114.835611979167,0.4665478467941284,162.2215118408203,0.7103557586669922,-162.2215118408203,Far_miss
328969__kickhat__remix-at-club-ambience_20.wav,1926.5573932726008,0.07463695384837964,4143.7957763671875,0.4636995196342468,166.2747802734375,0.6845734119415283,-166.2747802734375,Far_miss
328969__kickhat__remix-at-club-ambience_21.wav,1980.3298892075297,0.07483814380787036,4273.044840494792,0.46255016326904297,159.27597045898438,0.7240432500839233,-159.27597045898438,Far_miss
328969__kickhat__remix-at-club-ambience_22.wav,1971.699498657923,0.07508906611689815,4262.3280843098955,0.4307893216609955,169.97286987304688,0.6932942867279053,-169.97286987304688,Far_miss
328969__kickhat__remix-at-club-ambience_23.wav,1906.9753082098568,0.07432725694444445,4132.5307210286455,0.4105628728866577,166.4920654296875,0.7829456329345703,-166.4920654296875,Far_miss
328969__kickhat__remix-at-club-ambience_24.wav,1563.7945357986944,0.06932237413194445,3227.538045247396,0.360980361700058,288.4867248535156,0.37075111269950867,-288.4867248535156,Far_miss
332397__kedr-sfx__theatre-hall_00.wav,1448.8324987519666,0.062215169270833336,2762.6800537109375,0.3756215274333954,124.63905334472656,3.7518935203552246,-124.63905334472656,Far_miss
332397__kedr-sfx__theatre-hall_01.wav,1341.229734775925,0.052788628472222224,2593.9534505208335,0.41627949476242065,156.4157257080078,1.7081873416900635,-156.4157257080078,Far_miss
332397__kedr-sfx__theatre-hall_02.wav,1393.842793004533,0.059436939380787035,2667.12646484375,0.4246998429298401,139.57420349121094,2.2039127349853516,-139.57420349121094,Far_miss
332397__kedr-sfx__theatre-hall_03.wav,1349.8258061656245,0.05851010923032408,2535.53466796875,0.4586765766143799,134.44178771972656,2.483114004135132,-134.44178771972656,Far_miss
332397__kedr-sfx__theatre-hall_04.wav,1376.7229409321783,0.057393391927083336,2662.092081705729,0.39405474066734314,141.33795166015625,2.461613178253174,-141.33795166015625,Far_miss
332397__kedr-sfx__theatre-hall_05.wav,1440.2683165139172,0.06625931351273148,2763.427734375,0.45423296093940735,153.7930450439453,1.381305456161499,-153.7930450439453,Far_miss
332397__kedr-sfx__theatre-hall_06.wav,1401.6310419851006,0.0638699001736111,2599.5361328125,0.45309901237487793,188.04104614257812,0.7038848400115967,-188.04104614257812,Far_miss
332397__kedr-sfx__theatre-hall_07.wav,1562.2770650947577,0.0715060763888889,3049.1414388020835,0.4564048945903778,169.11705017089844,0.7875881195068359,-169.11705017089844,Far_miss
332397__kedr-sfx__theatre-hall_08.wav,1447.4661755925292,0.06374104817708333,2817.3604329427085,0.4263831377029419,157.49171447753906,1.5000630617141724,-157.49171447753906,Far_miss
